,Estacion,Year,Mes,Valor_prom
422,COMODA LA [24010110],2005,3,
423,COMODA LA [24010110],2005,4,
424,COMODA LA [24010110],2005,5,
425,COMODA LA [24010110],2005,6,
426,COMODA LA [24010110],2005,7,
427,COMODA LA [24010110],2005,8,
428,COMODA LA [24010110],2005,9,
429,COMODA LA [24010110],2005,10,
430,COMODA LA [24010110],2005,11,
431,COMODA LA [24010110],2005,12,
432,COMODA LA [24010110],2006,1,
433,COMODA LA [24010110],2006,2,
434,COMODA LA [24010110],2006,3,
435,COMODA LA [24010110],2006,4,
436,COMODA LA [24010110],2006,5,
437,COMODA LA [24010110],2006,6,
438,COMODA LA [24010110],2006,7,
439,COMODA LA [24010110],2006,8,
440,COMODA LA [24010110],2006,9,
441,COMODA LA [24010110],2006,10,
442,COMODA LA [24010110],2006,11,
443,COMODA LA [24010110],2006,12,
444,COMODA LA [24010110],2007,1,
445,COMODA LA [24010110],2007,2,
446,COMODA LA [24010110],2007,3,
447,COMODA LA [24010110],2007,4,
448,COMODA LA [24010110],2007,5,
449,COMODA LA [24010110],2007,6,
450,COMODA LA [24010110],2007,7,
451,COMODA LA [24010110],2007,8,
452,COMODA LA [24010110],2007,9,
453,COMODA LA [24010110],2007,10,
454,COMODA LA [24010110],2007,11,
455,COMODA LA [24010110],2007,12,
456,COMODA LA [24010110],2008,1,
457,COMODA LA [24010110],2008,2,
458,COMODA LA [24010110],2008,3,
459,COMODA LA [24010110],2008,4,
460,COMODA LA [24010110],2008,5,
461,COMODA LA [24010110],2008,6,
462,COMODA LA [24010110],2008,7,
463,COMODA LA [24010110],2008,8,
464,COMODA LA [24010110],2008,9,
465,COMODA LA [24010110],2008,10,
466,COMODA LA [24010110],2008,11,
467,COMODA LA [24010110],2008,12,
468,COMODA LA [24010110],2009,1,
469,COMODA LA [24010110],2009,2,
470,COMODA LA [24010110],2009,3,
471,COMODA LA [24010110],2009,4,
472,COMODA LA [24010110],2009,5,
473,COMODA LA [24010110],2009,6,
474,COMODA LA [24010110],2009,7,
475,COMODA LA [24010110],2009,8,
476,COMODA LA [24010110],2009,9,
477,COMODA LA [24010110],2009,10,
478,COMODA LA [24010110],2009,11,
479,COMODA LA [24010110],2009,12,
480,COMODA LA [24010110],2010,1,
481,COMODA LA [24010110],2010,2,
482,COMODA LA [24010110],2010,3,
483,COMODA LA [24010110],2010,4,
484,COMODA LA [24010110],2010,5,
485,COMODA LA [24010110],2010,6,
486,COMODA LA [24010110],2010,7,
487,COMODA LA [24010110],2010,8,
488,COMODA LA [24010110],2010,9,
489,COMODA LA [24010110],2010,10,
490,COMODA LA [24010110],2010,11,
491,COMODA LA [24010110],2010,12,
492,COMODA LA [24010110],2011,1,
493,COMODA LA [24010110],2011,2,
494,COMODA LA [24010110],2011,3,
495,COMODA LA [24010110],2011,4,
496,COMODA LA [24010110],2011,5,
497,COMODA LA [24010110],2011,6,
498,COMODA LA [24010110],2011,7,
499,COMODA LA [24010110],2011,8,
500,COMODA LA [24010110],2011,9,
501,COMODA LA [24010110],2011,10,
502,COMODA LA [24010110],2011,11,
503,COMODA LA [24010110],2011,12,
504,COMODA LA [24010110],2012,1,
505,COMODA LA [24010110],2012,2,
506,COMODA LA [24010110],2012,3,
507,COMODA LA [24010110],2012,4,
508,COMODA LA [24010110],2012,5,
509,COMODA LA [24010110],2012,6,
510,COMODA LA [24010110],2012,7,
511,COMODA LA [24010110],2012,8,
512,COMODA LA [24010110],2012,9,
513,COMODA LA [24010110],2012,10,
514,COMODA LA [24010110],2012,11,
515,COMODA LA [24010110],2012,12,
516,COMODA LA [24010110],2013,1,
517,COMODA LA [24010110],2013,2,
518,COMODA LA [24010110],2013,3,
519,COMODA LA [24010110],2013,4,
520,COMODA LA [24010110],2013,5,
521,COMODA LA [24010110],2013,6,
522,COMODA LA [24010110],2013,7,
523,COMODA LA [24010110],2013,8,
524,COMODA LA [24010110],2013,9,
525,COMODA LA [24010110],2013,10,
526,COMODA LA [24010110],2013,11,
527,COMODA LA [24010110],2013,12,
528,COMODA LA [24010110],2014,1,
529,COMODA LA [24010110],2014,2,
530,COMODA LA [24010110],2014,3,
531,COMODA LA [24010110],2014,4,
532,COMODA LA [24010110],2014,5,
533,COMODA LA [24010110],2014,6,
534,COMODA LA [24010110],2014,7,
535,COMODA LA [24010110],2014,8,
536,COMODA LA [24010110],2014,9,
537,COMODA LA [24010110],2014,10,
538,COMODA LA [24010110],2014,11,
539,COMODA LA [24010110],2014,12,
540,COMODA LA [24010110],2015,1,
541,COMODA LA [24010110],2015,2,
542,COMODA LA [24010110],2015,3,
543,COMODA LA [24010110],2015,4,
544,COMODA LA [24010110],2015,5,
545,COMODA LA [24010110],2015,6,
546,COMODA LA [24010110],2015,7,
547,COMODA LA [24010110],2015,8,
548,COMODA LA [24010110],2015,9,
549,COMODA LA [24010110],2015,10,
550,COMODA LA [24010110],2015,11,
551,COMODA LA [24010110],2015,12,
552,COMODA LA [24010110],2016,1,
553,COMODA LA [24010110],2016,2,
554,COMODA LA [24010110],2016,3,
555,COMODA LA [24010110],2016,4,
556,COMODA LA [24010110],2016,5,
557,COMODA LA [24010110],2016,6,
558,COMODA LA [24010110],2016,7,
559,COMODA LA [24010110],2016,8,
560,COMODA LA [24010110],2016,9,
561,COMODA LA [24010110],2016,10,
562,COMODA LA [24010110],2016,11,
563,COMODA LA [24010110],2016,12,
564,COMODA LA [24010110],2017,1,
565,COMODA LA [24010110],2017,2,
566,COMODA LA [24010110],2017,3,
567,COMODA LA [24010110],2017,4,
568,COMODA LA [24010110],2017,5,
569,COMODA LA [24010110],2017,6,
570,COMODA LA [24010110],2017,7,
571,COMODA LA [24010110],2017,8,
572,COMODA LA [24010110],2017,9,
573,COMODA LA [24010110],2017,10,
574,COMODA LA [24010110],2017,11,
575,COMODA LA [24010110],2017,12,
576,COMODA LA [24010110],2018,1,
577,COMODA LA [24010110],2018,2,
578,COMODA LA [24010110],2018,3,
579,COMODA LA [24010110],2018,4,
580,COMODA LA [24010110],2018,5,
581,COMODA LA [24010110],2018,6,
582,COMODA LA [24010110],2018,7,
583,COMODA LA [24010110],2018,8,
584,COMODA LA [24010110],2018,9,
585,COMODA LA [24010110],2018,10,
586,COMODA LA [24010110],2018,11,
587,COMODA LA [24010110],2018,12,
588,COMODA LA [24010110],2019,1,
589,COMODA LA [24010110],2019,2,
590,COMODA LA [24010110],2019,3,
591,COMODA LA [24010110],2019,4,
592,COMODA LA [24010110],2019,5,
593,COMODA LA [24010110],2019,6,
594,COMODA LA [24010110],2019,7,
595,COMODA LA [24010110],2019,8,
596,COMODA LA [24010110],2019,9,
597,COMODA LA [24010110],2019,10,
598,COMODA LA [24010110],2019,11,
599,COMODA LA [24010110],2019,12,
600,GACHANTIVA [24010810],1970,1,
601,GACHANTIVA [24010810],1970,2,
